english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
menashe,גן השומרון,3,35.0,33.3,100.0,0.0,0.638,7
emek_hefer,גן יאשיה,5,15.2,20.0,100.0,0.0,1.241,8
gan_yavne,גן יבנה,198,33.1,55.6,51.5,48.5,0.774,7
hagilboa,גן נר,27,24.1,51.9,44.4,55.6,-0.098,5
brener,גן שלמה,1,23.0,100.0,100.0,0.0,1.239,8
emek_hayarden,גנוסר,6,25.2,66.7,66.7,33.3,0.475,7
emek_lod,גנות,2,31.5,100.0,50.0,50.0,0.185,6
gezer,גני הדר,1,63.0,0.0,100.0,0.0,1.162,8
hevel_modiin,גני מודיעין,31,29.0,41.9,61.3,38.7,0.837,7
petah_tikva,גני תקוה,179,35.9,54.7,52.0,48.0,0.55,7
emek_yizrael,גניגר,14,18.8,7.1,57.1,42.9,1.115,8
hof_hasharon,געש,7,24.9,42.9,71.4,28.6,1.38,8
mate_asher,געתון,3,31.3,100.0,66.7,33.3,0.52,7
hevel_eielot,גרופית,10,36.7,50.0,40.0,60.0,-0.055,5
emek_hamaayanot,גשר,5,26.6,40.0,20.0,80.0,0.304,6
mate_asher,גשר הזיו,33,27.0,27.3,57.6,42.4,0.52,7
dalyat_al_carmel,דאלית אל-כרמל,6,31.7,66.7,33.3,66.7,-0.203,5
hagilboa,דבורה,2,48.0,100.0,50.0,50.0,-0.098,5
bnei_shimon,דבירה,15,23.3,33.3,53.3,46.7,0.971,7
emek_hayarden,דגניה א,2,19.5,100.0,100.0,0.0,0.475,7
emek_hayarden,דגניה ב,4,11.0,25.0,50.0,50.0,0.475,7
ashkelon,דובב,1,22.0,100.0,0.0,100.0,-0.135,5
hof_hacarmel,דור,4,35.2,75.0,25.0,75.0,1.043,8
shaar_hanegev,דורות,1,50.0,100.0,0.0,100.0,0.769,7
dimona,דימונה,368,37.1,60.1,50.8,49.2,-0.387,4
mevoot_hahermon,דישון,1,65.0,100.0,0.0,100.0,0.799,7
dalyat_al_carmel,דליה,5,37.0,100.0,40.0,60.0,-0.203,5
hagalil_haelyon,דן,1,21.0,100.0,0.0,100.0,0.602,7
hagalil_haelyon,דפנה,6,14.7,50.0,83.3,16.7,0.602,7
eshkol,דקל,6,18.7,50.0,50.0,50.0,0.309,6
hagalil_haelyon,הגושרים,27,22.8,44.4,55.6,44.4,0.602,7
emek_hefer,הדר עם,3,30.3,66.7,33.3,66.7,1.241,8
hod_hasharon,הוד השרון,687,33.4,47.5,54.1,45.9,1.567,9
hof_ashkelon,הודיה,1,47.0,100.0,0.0,100.0,0.648,7
emek_yizrael,הושעיה,4,60.8,50.0,50.0,50.0,1.115,8
megido,הזורע,7,44.7,14.3,28.6,71.4,0.467,7
